Date,Wipro,YesBank,TTM,SUNPHARMA
2/7/2018,288.535278,330.277222,29.110001,547.847961
2/8/2018,288.983978,332.360657,28.299999,582.343933
2/9/2018,284.19751,322.985107,28.42,580.948181
2/12/2018,288.136414,332.757507,28.67,587.378784
2/14/2018,292.623749,317.826111,28.629999,573.071899
2/15/2018,291.676392,317.280426,29.280001,574.019043
2/16/2018,290.180634,309.343445,29.24,573.520569
2/19/2018,289.133606,309.591461,28.809999,559.712219
2/20/2018,290.629364,306.267883,28.620001,557.817932
2/21/2018,291.377258,309.88913,27.969999,524.169373
2/22/2018,291.825958,313.609589,27.700001,539.822205
2/23/2018,294.169373,320.901672,28.030001,567.937439
2/26/2018,290.778931,323.580383,28.98,554.278625
2/27/2018,290.928528,324.57251,28.379999,543.162109
2/28/2018,291.975555,319.760712,28.02,533.740479
3/1/2018,291.676392,318.520569,27.98,533.790405
3/5/2018,290.130768,310.484406,27.969999,546.900818
3/6/2018,286.142029,309.690674,27.280001,530.151367
3/7/2018,284.546539,309.492279,27.1,523.272095
3/8/2018,284.396973,306.119049,26.889999,513.052856
3/9/2018,284.247375,300.860809,26.799999,505.276337
3/12/2018,289.88147,308.698578,26.780001,511.108795
3/13/2018,295.764862,310.335571,27.18,521.726746
3/14/2018,293.022614,316.337921,27.35,518.536377
3/15/2018,292.573853,309.393066,27.24,514.897339
3/16/2018,294.917236,310.434784,27.030001,501.537628
3/19/2018,287.83725,302.39859,26.440001,496.15387
3/20/2018,292.773315,300.017517,25.77,507.22049
3/21/2018,294.418671,298.380524,25.719999,502.983276
3/22/2018,287.637817,295.900208,25.799999,506.871552
3/23/2018,283.848511,284.391602,25.5,500.889587
3/26/2018,273.228485,300.960022,24.9,501.687195
3/27/2018,273.278351,301.108856,25.4,503.581482
3/28/2018,280.358368,302.448212,25.629999,493.611542
4/2/2018,288.834412,303.837189,25.42,506.323212
4/3/2018,283.100616,310.633209,25.700001,508.466736
4/4/2018,280.807098,303.043488,25.67,500.740051
4/5/2018,285.444,310.583588,26.25,506.024078
4/6/2018,283.150482,312.022186,27.4,511.058899
4/9/2018,284.247375,313.758392,27.620001,509.314178
4/10/2018,285.194702,316.734741,27.34,506.721985
4/11/2018,284.895569,309.54187,27.24,519.882324
4/12/2018,286.042328,309.293854,27.200001,514.348999
4/13/2018,293.321747,307.111176,27.190001,511.457703
4/16/2018,289.08371,307.904877,27.17,517.838501
4/17/2018,283.948212,305.474182,26.719999,510.610291
4/18/2018,291.825958,307.111176,26.15,510.460724
4/19/2018,291.626556,315.990662,25.690001,507.669159
4/20/2018,297.210754,306.119049,25.57,503.780853
4/23/2018,296.512756,310.583588,25.129999,512.703979
4/24/2018,286.142029,321.447327,24.85,516.243286
4/25/2018,286.341461,322.6875,24.85,512.504578
4/26/2018,280.5578,349.623566,24.639999,511.058899
4/27/2018,275.372437,346.151154,24.360001,522.574219
4/30/2018,277.965118,359.147949,24.67,526.811462
5/2/2018,274.774109,351.459015,25.02,513.651123
5/3/2018,270.685669,351.161377,25.120001,534.38855
5/4/2018,269.140045,342.381104,25.4,516.392822
5/7/2018,273.976379,345.159027,25.07,512.15564
5/8/2018,271.982025,340.595276,24.73,509.912384
5/9/2018,269.489044,345.109436,25.059999,504.628296
5/10/2018,269.688507,341.934631,24.99,495.705231
